route_name,route_link,busname,bustype,departing_time,duration,reaching_time,star_rating,price,seats_available
Vijayawada to Hyderabad,https://www.redbus.in/online-booking/apsrtc/?utm_source=rtchometile,APSRTC - 35269,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),12:15,06h 10m,18:25,3.8,720,40
Vijayawada to Hyderabad,https://www.redbus.in/online-booking/apsrtc/?utm_source=rtchometile,APSRTC - 3601,Super Luxury (Non AC Seater 2+2 Push Back),12:30,08h 05m,20:35,2.5,469,28
Vijayawada to Hyderabad,https://www.redbus.in/online-booking/apsrtc/?utm_source=rtchometile,APSRTC - 35117,INDRA(A.C. Seater),13:00,06h 09m,19:09,3.7,567,34
Vijayawada to Hyderabad,https://www.redbus.in/online-booking/apsrtc/?utm_source=rtchometile,APSRTC - 3823,Super Luxury (Non AC Seater 2+2 Push Back),13:00,06h 45m,19:45,4.0,469,32
Bangalore to Kozhikode,https://www.redbus.in/online-booking/ksrtc-kerala/?utm_source=rtchometile,KSRTC (Kerala) - 52,SWIFT-GARUDA A/C SEATER BUS,12:01,07h 54m,19:55,3.6,627,24
Bangalore to Kozhikode,https://www.redbus.in/online-booking/ksrtc-kerala/?utm_source=rtchometile,KSRTC (Kerala) - 1378,AC MULTI AXLE,13:46,07h 04m,20:50,2.7,729,22
Bangalore to Kozhikode,https://www.redbus.in/online-booking/ksrtc-kerala/?utm_source=rtchometile,KSRTC (Kerala) - 235,Swift Deluxe Non AC Air Bus (2+2),15:00,09h 01m,00:01,4.3,620,30
Bangalore to Kozhikode,https://www.redbus.in/online-booking/ksrtc-kerala/?utm_source=rtchometile,KSRTC (Kerala) - 97,Swift Deluxe Non AC Air Bus (2+2),16:02,08h 48m,00:50,2.8,567,31
Khammam to Hyderabad,https://www.redbus.in/online-booking/tsrtc/?utm_source=rtchometile,TSRTC - 8847,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",11:10,04h 20m,15:30,4.1,320,24
Khammam to Hyderabad,https://www.redbus.in/online-booking/tsrtc/?utm_source=rtchometile,TSRTC - 8970,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",11:15,04h 00m,15:15,4.0,320,31
